data-id ,data-productcode ,data-price ,href                                                                                     ,data-name                                                   ,data-id ,data-price ,data-brand     ,data-cate  ,item-rating-total
 271721 ,   0131491003594 , 4490000.0 ,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a14-5g                             ,Điện thoại Samsung Galaxy A14 5G                            , 271721 , 3790000.0 ,Samsung        ,Điện thoại ,              108
 317530 ,   0131491003910 , 4490000.0 ,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a05s-6gb                           ,Điện thoại Samsung Galaxy A05s 6GB                          , 317530 , 4190000.0 ,Samsung        ,Điện thoại ,               46
 307556 ,   0131491003720 , 3490000   ,https://www.dienmayxanh.com/dien-thoai/xiaomi-redmi-12-4gb?utm_flashsale=1               ,Điện thoại Xiaomi Redmi 12 4GB                              , 307556 , 3490000   ,Xiaomi         ,Điện thoại ,              592
 313194 ,   0131491003890 , 3490000   ,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a05                                ,Điện thoại Samsung Galaxy A05 6GB                           , 313194 , 3290000   ,Samsung        ,Điện thoại ,               70
 317221 ,   0131491003920 , 3490000.0 ,https://www.dienmayxanh.com/dien-thoai/xiaomi-redmi-13c-6gb                              ,Điện thoại Xiaomi Redmi 13C 6GB                             , 317221 , 3290000.0 ,Xiaomi         ,Điện thoại ,               16
 288404 ,   0131491003567 , 2790000.0 ,https://www.dienmayxanh.com/dien-thoai/oppo-a17k                                         ,Điện thoại OPPO A17K                                        , 288404 , 2790000.0 ,OPPO           ,Điện thoại ,              162
 309723 ,   0131491003745 , 2790000.0 ,https://www.dienmayxanh.com/dien-thoai/vivo-y02t                                         ,Điện thoại vivo Y02T                                        , 309723 , 2790000.0 ,vivo           ,Điện thoại ,               66
 322919 ,   0131491004042 , 2790000.0 ,https://www.dienmayxanh.com/dien-thoai/realme-c60                                        ,Điện thoại realme C60                                       , 322919 , 2790000.0 ,realme         ,Điện thoại ,                0
 313306 ,   0131491004059 , 2490000.0 ,https://www.dienmayxanh.com/dien-thoai/honor-x5-plus                                     ,Điện thoại HONOR X5 Plus                                    , 313306 , 2490000.0 ,HONOR          ,Điện thoại ,                0
 251897 ,   0131491002831 , 2290000.0 ,https://www.dienmayxanh.com/dien-thoai/itel-l6502                                        ,Điện thoại Itel L6502                                       , 251897 , 2290000.0 ,Itel           ,Điện thoại ,              110
 302654 ,   0131491003777 , 2190000.0 ,https://www.dienmayxanh.com/dien-thoai/xiaomi-redmi-a2                                   ,Điện thoại Xiaomi Redmi A2                                  , 302654 , 1890000.0 ,Xiaomi         ,Điện thoại ,               47
 286060 ,   0130018000500 , 1590000.0 ,https://www.dienmayxanh.com/dien-thoai/nokia-8210-4g                                     ,Điện thoại Nokia 8210 4G                                    , 286060 , 1590000.0 ,Nokia          ,Điện thoại ,              147
